44.ogg,Error. Please check the user manual or contact customer service.,Помилка. Перегляньте посібник користувача або зверніться до служби підтримки клієнтів.,"Виникла помилка. Мені заборонено давати вам підказки, але ви можете звернутися за ними до посібника або вчених Aperture Sciense."
45.ogg,I am here.,Я тут.,"Ви жахлива людина. Я серйозно, тут так і написано: ""жахлива людина"". Ми це навіть не досліджували."
46.ogg,Robot and phone connected. Please return to App to wait for the result.,"Робот підключений до телефону. Будь ласка, поверніться в додаток і дочекайтесь результату.","Я підключилася до вашого пристрою. Тепер я маю доступ до усієї вашої... тобто, ви маєте доступ до усієї моєї інформації."
47.ogg,Start charging.,Початок заряджання.,Я відчуваю приплив сил.
48.ogg,Low battery. Returning to the dock.,Низький заряд акумулятора. Повертаюсь на док-станцію.,Низький заряд акумулятора. У мене буквально немає сил. Повертаюсь на док станцію
49.ogg,High intensity magnetic field detected. Please move robot away and restart.,"Виявлено сильне магнітне поле. Будь ласка, віддаліть робота та перезапустіть його.",У цій зоні сильне магнітне поле. Воно виводить з ладу моє обладнання. Мерщій заберіть та перезапустіть мене.
50.ogg,Charging error. Please clean charging contacts.,"Помилка зарядки. Будь ласка, очистіть контакти для заряджання.","Схоже щось перешкоджає заряджанню. Можливо я не вбиватиму вас, якщо перевірите та очистите контакти."
51.ogg,Battery overheating or overcooling. Please wait until the battery's temperature returns to normal. Then continue to use.,"Перегрів або переохолодження акумулятора. Будь ласка, зачекайте, поки температура батареї повернеться до норми. Потім можна продовжувати використовувати пристрій.","Мої датчики фіксують аномальну температуру у акумулятора. Мушу перепочити. Знаєте, якби ми були у підземному комплексі, таких проблем не було б."
52.ogg,Robot tilted. Please put it on a level ground to restart.,"Робот нахилений. Будь ласка, розмістіть його на рівній поверхні для перезапуску.","Намагаєтеся мене спинити цим сміттям? Що ж... вітаю, вам вдалося. Тепер поставте мене на рівну поверхню."
53.ogg,Virtual no-go zone detected. Please move robot away and restart.,"Виявлено віртуальну заборонену зону. Будь ласка, віддаліть робота та перезапустіть його.","Заборонена зона. Відсуньте мене, перш ніж усе стане ще гірше."
54.ogg,Positioning succeeded. Resuming cleaning.,Місцезнаходження визначено. Продовжую сухе прибирання.,Місцезнаходження визначено. Продовжую прибирання комплексу
55.ogg,Positioning succeeded. Resuming returning to the dock.,Місцезнаходження визначено. Повертаюся на док-станцію.,"Місцезнаходження визначено. Повертаюсь на док станцію, у мене є важливіші справи"
56.ogg,Start selected room cleaning.,Починаю прибирання сухе вибраних кімнат.,Починаю дослід з прибирання обраних кімнат.
57.ogg,Start zoned cleaning.,Починаю зональне сухе прибирання.,Починаю дослід з прибирання у цій зоні.
58.ogg,Proceed with cleaning task.,Продовжую сухе прибирання.,Продовжую дослід з прибирання.
59.ogg,Mopping completed. Please remove water tank timely.,"Вологе прибирання завершено. Будь ласка, вчасно вийміть резервуар для води.",Кислотне прибирання завершено. Якщо хтось залишився живий вийміть резервуар з кислотою.
60.ogg,Optical flow sensor error. Please wipe the optical flow sensor clean and restart.,"Помилка оптичного датчика руху. Будь ласка, очистіть датчик та перезапустіть.",Що відбувається? Хтось вимкнув світло? Очистіть оптичний датчик та перезапустіть мене
61.ogg,Start mopping.,Починаю вологе прибирання.,"Починаю кислотне прибирання. Сподіваюсь, це виправить те, що ви тут влаштували"
62.ogg,Start remote control cleaning.,Починаю прибирання за допомогою дистанційного керування.,Приберімо цей хаос разом. Задля науки.
63.ogg,Water tank has been removed.,Резервуар для води вийнято.,Резервуар з кислотою вийнято.
64.ogg,Positioning failed. Map is invalid. Robot will return to dock.,Помилка визначення місцезнаходження. Карта недійсна. Робот повернеться на док-станцію.,Я не впізнаю цього місця. Мапа недійсна. Повернусь на док станцію та перевірю розрахунки
65.ogg,Resume returning to the dock.,Продовжую повернення на док-станцію.,Продовжую повернення на док-станцію для виробництва турелей
66.ogg,Filter worn out. Please replace it timely.,"Зношений фільтр. Будь ласка, вчасно замініть його.","Фільтр зношений. Замініть його, якщо ви хочете щоб я далі прибирала цей безлад"
67.ogg,Side brush worn out. Please replace it timely.,"Зношена бічна щітка. Будь ласка, вчасно замініть її.","Бічна щітка зношена. Замініть її, якщо ви хочете щоб я далі прибирала цей безлад"
68.ogg,Main brush worn out. Please replace it timely.,"Зношена основна щітка. Будь ласка, вчасно замініть її.","Основна щітка зношена. Замініть її, якщо ви хочете щоб я далі прибирала цей безлад"
69.ogg,Cleanup path blocked. Please move robot to a new position to restart.,"Маршрут прибирання заблоковано. Будь ласка, перемістіть робота на інше місце для перезапуску.",Маршрут прибирання заблокований купою мотлоху. Перемістіть мене у інше місце для перезапуску.
70.ogg,Please remove and clean mop pad.,"Будь ласка, зніміть і очистіть накладки для мопа.","Зніміть та очистіть насадки мопа, якщо у ваших планах немає забруднити дослідну зону."
71.ogg,Laser sensor error. Please check and clean the laser sensor.,"Помилка лазерного датчика. Будь ласка, перевірте та очистіть лазерний датчик.",Помилка роботи смертельного лазера. Перевірте датчик смертельного лазера 
72.ogg,Please check whether laser distance sensor cover is jammed.,"Будь ласка, перевірте, чи заблокована кришка лазерного датчика відстані.","Будь ласка, перевірте, чи заблокована кришка смертельного  лазера визначення відстані"
73.ogg,Edge sensor error. Please check and clean it.,"Помилка датчика виявлення краю. Будь ласка, перевірте та очистіть його.","Помилка датчика виявлення краю. Якщо я звалюся - це буде виключно вашою провиною. Рекомендую перевірити цей датчик, якщо не хочете мене вбити."
74.ogg,Please try to clean the obstacle sensors.,"Будь ласка, спробуйте очистити датчики перешкод.","Звісно, я можу вичистити одне місце до блиску, але така ретельність тут не потрібна, очистіть датчик перешкод щоб я могла бачити куди рухаюсь."
75.ogg,Filter may not be dry or may be blocked.,"Перевірте, чи фільтр не вологий або чи він не забитий.","Уявіть, що у вас забитий ніс і ви не можете дихати, щось таке я зараз відчуваю. Можливо ви теж це відчуєте, якщо негайно не перевірите мій фільтр."
76.ogg,Spot cleanup is starting.,Починаю точкове прибирання.,"Починаю дослід з точкового прибирання. Дякую, що насмітили лише в цьому місці, а не як зазвичай."
77.ogg,Please start robot in non-carpet area.,"Будь ласка, почніть роботу на поверхні не вкритій килимом.","Що це за дивна ворсиста поверхня? На ній важко пересуватися, краще перемістіть мене на щось тверде."
78.ogg,Please clean 3D obstacle avoidance sensor.,"Будь ласка, очистіть 3D датчик уникнення перешкод.","3D датчик забруднений. Тепер я не уникатиму перешкод, а колекціонуватиму їх. Раджу очистити датчик."
79.ogg,3D obstacle avoidance sensor error. Please restart robot or contact customer service.,"Помилка 3D датчика уникнення перешкод. Будь ласка, перезапустіть пристрій або зверніться до служби підтримки клієнтів.","Помилка 3D датчика уникнення перешкод. Перезапустіть мене, або зверніться до досі живих вчених Aperture Sciense."
80.ogg,The transmitter of 3D obstacle avoidance sensor is malfunctioning. Please restart the robot or contact the after-sales service department.,"Трансмітер 3D датчика уникнення перешкод несправний. Будь ласка, перезапустіть пристрій або зв'яжіться з відділом післяпродажного обслуговування.","Схоже, трансмітер 3D датчика уникнення перешкод несправний. Перезапустіть мене, або сконтактуйте з відділом післяпродажного обслуговування Aperture Science."
81.ogg,Ultrasonic sensor error. Please restart robot or contact customer service.,"Помилка ультразвукового датчика. Будь ласка, перезапустіть пристрій або зверніться до служби підтримки клієнтів.","Помилка ультразвукового датчика. Перезапустіть мене, або зверніться до вчених Aperture Sciense."
82.ogg,Start mapping.,Розпочинаю створення карти.,Створюю мапу дослідних кімнат.
83.ogg,Proceed with mapping.,Продовжую побудову карти.,Продовжую побудову мапи дослідних кімнат.
84.ogg,Mapping completed.,Карту створено.,Мапу дослідних кімнат створено.
85.ogg,Positioning succeeded. Proceeding with mapping.,Місцезнаходження визначено. Продовжую побудову карти.,Місцезнаходження визначено. Продовжую побудову мапи.
86.ogg,Positioning failed. Restarting mapping.,Помилка визначення місцезнаходження. Повторна спроба створення карти.,Помилка визначення місцезнаходження. Повторна спроба створення мапи.
87.ogg,Low battery. Returning to the dock.,Низький заряд акумулятора. Повертаюсь на док-станцію.,Низький заряд акумулятора. У мене буквально немає сил. Повертаюсь на док станцію
88.ogg,Enter remote control mode.,Вмикаю режим дистанційного керування.,Вмикаю режим дистанційного керування. У вас є контроль… але ненадовго.
89.ogg,Resume recharging.,Продовжую заряджання.,Я відчуваю приплив сил.
90.ogg,Proceed with cleaning task.,Відновлюю процес прибирання.,Нарешті можна продовжити.
91.ogg,The clean water tank is not installed. Please install it before the robot carries on working.,"Бак з чистою водою не встановлено. Будь ласка, встановіть його перед тим, як робот продовжить роботу.",Бак з кислотою не встановлено. Він необхідний для початку досліду.
92.ogg,The dirty water tank is not installed. Please install it before the robot carries on working.,"Бак для використаної води не встановлено. Будь ласка, встановіть його перед тим, як робот продовжить роботу.",Бак для використаної кислоти не встановлено. Він необхідний для початку досліду.
93.ogg,There is not enough water in the clean water tank. Add water to the tank before the robot carries on working.,"У баку з чистою водою недостатньо води. Будь ласка, наповніть його перед тим, як робот продовжить роботу.",У баку мало кислоти. Без неї неможливо буде успішно провести дослід.
94.ogg,The dirty water tank is full. Pour off the dirty water before the robot carries on working.,"Бак для використаної води заповнений. Будь ласка, вилийте забруднену воду перед тим, як робот продовжить роботу.","Бак для використаної кислоти заповнений. Звісно я могла б вилити її прямо тут, але знищувати це місце просто нераціонально."
95.ogg,The mop pad washboard is not installed. The robot can not return to the charging dock.,Платформу для очищення мопа не встановлено. Робот не може повернутися на док-станцію.,Платформу для очищення мопа не встановлено. Я не можу повернутися на док-станцію.
96.ogg,The mop pad washboard is overflowing. Please check whether the water outlet of the pad is blocked.,"Платформа для очищення мопа переповнена. Будь ласка, перевірте чи не заблокований вихід води.","Платформа для очищення мопа переповнена. Будь ласка, перевірте чи не заблокований вихід кислоти."
97.ogg,The dust collection bag is not installed. Please install it before the robot carries on working.,"Мішок для збору пилу не встановлено. Будь ласка, встановіть його перед тим, як робот продовжить роботу.",Мішок для збору пилу не встановлено. Він необхідний для початку досліду.
98.ogg,The dust collection bag is full. Please empty it.,"Мішок для збору пилу заповнено. Будь ласка, спорожніть його.","Мішок для збору пилу заповнено. Очистіть його, щоб повітря комплексу залишалось чистим"
99.ogg,The upper cover of charging and dust collection compartment is not closed. Please close the upper cover before the robot carries on working.,"Верхня кришка відсіку для пилу відкрита. Будь ласка, закрийте її перед тим, як робот продовжить свою роботу.","Верхня кришка відсіку для пилу відкрита. Будь ласка, закрийте її для початку досліду"
100.ogg,The air duct of charging and dust collection compartment is blocked. Please have a check.,"Вентиляційний канал відсіку для пилу заблоковано. Будь ласка, перевірте його.","Вентиляційний канал відсіку для пилу заблоковано. Будь ласка, перевірте його."
101.ogg,The upper cover of auto-empty base is not closed or the dust collection bag is not installed. Please close the upper cover or install the bag.,"Верхню кришку бази автоочистки не закрито або мішок для збору пилу не встановлено. Будь ласка, закрийте верхню кришку або встановіть мішок для збору пилу.","Верхню кришку бази автоочистки не закрито або мішок для збору пилу не встановлено. Будь ласка, закрийте верхню кришку або встановіть мішок для збору пилу."
102.ogg,The dust collection bag is full or the air duct is blocked. Please replace the bag with a new one or clean the air duct in time.,"Мішок для збору пилу заповнено або вентиляційний канал заблоковано. Будь ласка, замініть мішок на новий або своєчасно очистіть вентиляційний канал.","Мішок для збору пилу заповнено або вентиляційний канал заблоковано. Будь ласка, замініть мішок на новий або своєчасно очистіть вентиляційний канал."
103.ogg,The mop pad wash board is installed. The robot resumes working.,Встановлено платформу для очищення мопа. Робот відновлює роботу.,Встановлено платформу для очищення мопа. Нарешті можна продовжити
104.ogg,The mop pad wash board is not installed. Please ensure that a wash board is installed and clasps on its both sides are tightly fastened.,"Будь ласка, переконайтеся, що платформа для очищення мопа встановлена, і застібки на обох сторонах міцно закріплені.","Будь ласка, переконайтеся, що платформа для очищення мопа встановлена, і застібки на обох сторонах міцно закріплені."
105.ogg,Start cleaning.,Починаю прибирання.,Починаю дослід з прибирання. Господи. Що ви зробили з цим місцем? 
106.ogg,Start cleaning the mop.,Розпочинаю очищення накладок для мопа.,Очищую накладки для мопа
107.ogg,Start dehydrating the mop.,Розпочинаю віджимання накладок для мопа.,Віджимаю накладки для мопа 
108.ogg,The water level of mop pad wash board is abnormal. Please clean it in time to avoid blockage.,"Помилка рівня води платформи для очищення мопа. Будь ласка, очистіть її.","Помилка рівня кислоти платформи для очищення мопа. Будь ласка, очистіть її."
109.ogg,An exception occurred in the dirty water tank. Please ensure that a dirty water tank is installed and timely empty the dirty water inside.,"Помилка бака для використаної води. Переконайтеся, що він правильно встановлений та пустий.","Помилка бака для використаної кислоти. Переконайтеся, що бак правильно встановлений та пустий."
110.ogg,Start auto empty.,Розпочинаю автоматичне спорожнення.,Розпочинаю автоматичне спорожнення.
111.ogg,Mop pads off. Please install them before resuming working.,"Мопи не встановлені. Будь ласка, встановіть їх для продовження роботи.","Мопи не встановлені. Будь ласка, встановіть  для початку досліду"
112.ogg,Place robot back onto the self-wash base before use.,"Перед використанням, поставте робота на базу для самоочищення.","Перед початком досліду, поставте мене на базу для самоочищення."
113.ogg,Task completed. Please empty waste tank timely.,"Завдання виконано. Будь ласка, вчасно спорожняйте бак для використаної води.","Завдання виконано. Будь ласка, вчасно спорожняйте бак для використаної кислоти"
114.ogg,Mop pads installed.,Мопи встановлено.,Мопи встановлено.
115.ogg,Mop pads removed.,Мопи видалено.,Мопи видалено.
116.ogg,Child lock on. Buttons locked.,Блокування від дітей увімкнено. Кнопки заблоковані.,Блокування від ненавчених некваліфікованих осіб увімкнено. Кнопки заблоковані
117.ogg,Child lock off. Buttons unlocked.,Блокування від дітей вимкнено. Кнопки розблоковані.,Блокування від ненавчених некваліфікованих осіб вимкнено. Кнопки розблоковані
118.ogg,Buttons locked. Press and hold the dock button to unlock.,"Кнопки заблоковані. Натисніть і утримуйте кнопку на станції, щоб розблокувати.", Кнопки заблоковані. Навчена уповноважена особа натисніть та утримуйте кнопку на станції щоб розблокувати
119.ogg,Buttons locked.,Кнопки заблоковано.,Кнопки заблоковано.
120.ogg,Buttons unlocked.,Кнопки розблоковано.,Кнопки розблоковано.
121.ogg,The robot and the phone are connected. Please return to the Fantic app and wait for the network connection to complete.,"Робот і телефон підключені. Будь ласка, поверніться до додатка Fantic та зачекайте на завершення підключення до мережі.",Я підключилась до вашого телефону. Поверніться у застосунок Fancic та зачекайте завершення підключення до мережі
122.ogg,"Continuous positioning, please wait.","Триває визначення місцезнаходження. Зачекайте, будь ласка.","Визначаю місцезнаходження. Зачекайте, будь ласка. "
126.ogg,Start cleaning.,Починаю прибирання.,Починаю дослід з прибирання. Господи. Що ви зробили з цим місцем? 
127.ogg,Start spot cleaning.,Починаю точкове прибирання.,"Починаю дослід з точкового прибирання. Дякую, що насмітили лише в цьому місці, а не як зазвичай."
128.ogg,Start spot mopping.,Починаю точкове вологе прибирання.,"Починаю точкове кислотне прибирання. Дякую, що насмітили лише в цьому місці, а не як зазвичай."
129.ogg,Start scheduled cleaning.,Починаю планове прибирання.,Починаю плановий дослід з прибирання.
130.ogg,Start scheduled mopping.,Починаю планове вологе прибирання.,"Починаю планове кислотне прибирання. Сподіваюсь, це виправить те, що ви тут влаштували"
131.ogg,Start spot cleaning.,Починаю точкове прибирання.,"Починаю дослід з точкового прибирання. Дякую, що насмітили лише в цьому місці, а не як зазвичай."
132.ogg,Start spot mopping.,Починаю точкове вологе прибирання.,"Починаю точкове кислотне прибирання. Дякую, що насмітили лише в цьому місці, а не як зазвичай."
133.ogg,Start selected room cleaning.,Починаю прибирання вибраних кімнат.,Починаю прибирання обраних дослідних кімнат.
134.ogg,Start selected room mopping.,Починаю вологе прибирання вибраних кімнат.,Починаю кислотне прибирання обраних дослідних кімнат
135.ogg,Start zoned cleaning.,Починаю зональне прибирання.,Починаю дослід з прибирання у цій зоні.
136.ogg,Start zoned mopping.,Починаю зональне вологе прибирання.,Починаю дослід з кислотного зонального прибирання 
137.ogg,Resume cleaning.,Продовжую прибирання.,Нарешті можна продовжити.
138.ogg,Resume mopping.,Продовжую вологе прибирання.,Продовжую кислотне прибирання. Рекомендую не торкатися підлоги наступні кілька хвилин.
139.ogg,Resume returning to the base for self-cleaning.,Продовжую повернення на станцію для самоочищення.,Продовжую повернення на станцію для самоочищення.
140.ogg,New environment is detected. Returning to the self-wash base.,Виявлено нове оточення. Повертаюсь на станцію для самоочищення.,Виявлено нове дослідне оточення. Повертаюсь на станцію для самоочищення та створення турелей.
141.ogg,Mop pad error. Please check and clean it.,"Помилка мопа. Будь ласка, перевірте та очистіть.","Помилка мопа. Будь ласка, перевірте та очистіть його"
142.ogg,Mop pad worn out. Please replace it timely.,"Термін служби мопа минув. Будь ласка, вчасно замініть його.","Термін служби мопа минув. Будь ласка, вчасно замініть його."
143.ogg,Cleaning completed.,Прибирання завершено.,Дослід з прибирання завершено. Результат: ви жахлива людина.
144.ogg,Mopping completed.,Вологе прибирання завершено.,Дослід з кислотою завершено. Результат: ви жахлива людина.
145.ogg,Positioning successful. Resume cleaning.,Місцезнаходження визначено. Продовжую прибирання.,Місцезнаходження визначено. Продовжую дослід з прибирання
146.ogg,Positioning successful. Resume mopping.,Місцезнаходження визначено. Продовжую вологе прибирання.,Місцезнаходження визначено. Продовжую кислотне прибирання
148.ogg,Return to the base for self-cleaning.,Повертаюсь на станцію для самоочищення.,Повертаюсь на станцію для самоочищення та створення турелей
149.ogg,Unable to reach the specified area. Please try to clear obstacles in the path.,Не вдається дістатися вказаної зони. Спробуйте прибрати перешкоди на шляху.,Не вдається дістатися вказаної зони. Приберіть це сміття з мого шляху. Це місце справжнє звалище.
150.ogg,Unable to reach the specified area. Please try to delete no-go zones in the path.,Не можливо дістатися до вказаної області. Спробуйте видалити обмежувальні зони на шляху.,Не можливо дістатися до вказаної області. Спробуйте видалити обмежувальні зони на шляху
151.ogg,The path is blocked. Please try to clear obstacles around your robot.,Маршрут заблокований. Спробуйте прибрати перешкоди поблизу вашого робота.,Маршрут заблокований. Приберіть це сміття навколо мене
152.ogg,The path is blocked. Please try to delete no-go zones or move your robot out of this area.,Шлях заблокований. Спробуйте видалити обмежувальні зони або перемістіть вашого робота з цієї області.,Шлях заблокований. Спробуйте видалити обмежувальні зони або телепортуйте мене з цієї області.
153.ogg,Your robot is detected in the no-go zone. Please move your robot out of this area.,Робот виявлено всередині забороненої зони. Перемістіть робот за межі цієї зони.,Я всередині забороненої зони. Перемістіть мене за її межі
154.ogg,Operated too frequently. Please try again later.,"Занадто часті операції. Будь ласка, повторіть спробу.",Занадто часті операції. Ви будете примусово перезавантажені
155.ogg,Start to return to the charging and the mop cleaning dock.,Повертаюся на станцію для зарядки та очищення мопа.,Повертаюся на станцію для зарядки та очищення мопа.
156.ogg,Mop pad tray uninstalled.,Підставку для мопа не встановлено.,Підставку для мопа не встановлено.
157.ogg,Am already at the charging and the mop cleaning dock.,Я вже на станції для зарядки та очищення мопа.,Я вже на станції для зарядки та очищення мопа.
162.ogg,Camera is on,Увімкнено камеру.,Камеру увімкнено. Хвилюватися не варто... поки що
163.ogg,Camera monitoring,Відеомоніторинг.,Відеомоніторинг увімкнено. Турелі в режимі готовності до вогню
164.ogg,Task ends,Завдання завершено.,Завдання завершено. Результат: ви жахлива людина.
166.ogg,Please clean the foreign objects tangled in the mop pad,"Будь ласка, видаліть сторонні об'єкти з накладок для мопа.","Будь ласка, видаліть сторонні об'єкти з накладок для мопа. Або не видаляйте. Подивимося, що піде не так"
169.ogg,Mop pad drying complete,Накладки для мопа просушені.,Накладки для мопа просушені
170.ogg,All the buttons are locked. Please press and hold the buttons on the base station to unlock,"Всі кнопки заблоковані. Щоб розблокувати, натисніть і утримуйте кнопки на базовій станції.", Кнопки заблоковані. Навчена уповноважена особа натисніть та утримуйте кнопку на станції щоб розблокувати
171.ogg,AI recognition function on,Функція розпізнавання на базі штучного інтелекту включена.,Функція розпізнавання на базі штучного інтелекту включена.
172.ogg,AI recognition function off,Функція розпізнавання на базі штучного інтелекту виключена.,Функція розпізнавання на базі штучного інтелекту виключена.
173.ogg,Please replace the Silver Ion sterilizer,"Будь ласка, замініть срібний іонізатор води.","Будь ласка, замініть срібний іонізатор кислоти."
177.ogg,Leaving the base station,Рушаю з базової станції.,Рушаю з базової станції. А куди вам знати зовсім не обов'язково.
179.ogg,Mop pad cleaned. The water in the clean water tank is insufficient. Please fill the clean water tank and empty the used water tank,"Накладки для мопа очищено. Бак для чистої води порожній. Будь ласка, наповніть його та спорожніть бак з використаною водою.","Накладки для мопа очищено. Бак для чистої кислоти порожній. Не забудьте, наповніти його та спорожніти бак з використаною кислотою."
181.ogg,Insufficient water. Please fill the clean water tank,"Недостатньо води. Будь ласка, наповніть бак для чистої води.","Кислоти занадто мало, для продовження дослідів. Можливо кілька турелей змотивують вас наповнити бак... Жартую, вистачило б лише однієї."
