1.mp3,Startup sound,Звук увімкнення,Звук увімкнення (3 секунди)
73.mp3,Water tank installed.,Резервуар для води встановлено.,Бак з кислотою не встановлено. Тепер ніщо мене не зупинить
75.mp3,Area cleaning started.,Починаю зональне прибирання.,Починаю дослід з прибирання у цій зоні.
86.mp3,Cleaning resumed.,Продовжую прибирання,Нарешті можна продовжити
96.mp3,Unable to reach the target area,Неможливо досягти вказаної точки,Не вдається дістатися вказаної зони. Приберіть це сміття з мого шляху. Це місце справжнє звалище.
104.mp3,Home mapping completed,Створення мапи дому завершено,Мапу дослідних кімнат створено.
112.mp3,Faile to locate. Unable to clean,Помилка визначення місцезнаходження. Неможливо розпочати прибирання.,Збій визначення місцезнаходження. Де це я?
116.mp3,"Failed to charge, please wipe the charging contacts and remove the obstacles around the charging base.","Помилка зарядки. Будь ласка, очистіть контакти для заряджання та приберіть перешкоди навколо док-станції","Схоже щось перешкоджає заряджанню. Можливо я не вбиватиму вас, якщо перевірите та очистите контакти."
156.mp3,Starting Dust Collection,Починаю збір пилу.,Починаю дослід з прибирання. Господи. Що ви зробили з цим місцем?
157.mp3,The dust bag is full. Please replace it.,"Пилозбірник повний. Будь ласка, змініть його","Мішок для збору пилу заповнено. Очистіть його, щоб повітря комплексу залишалось чистим"
158.mp3,The dust collector duct is blocked. Please clean it.,"Канал пилозбірника заблокований. Будь ласка, очистіть його.",Контейнер для пилу заблоковано. Будь ласка перевірте його
160.mp3,Do not open the cover while operating.,Не відкривайте кришку під час роботи.,Верхня кришка відкрита. Будь ласка закрийте її для початку досліду
161.mp3,Please install the dust bag.,Будь ласка встановіть пилозбірник,"Мішок для збору пилу не встановлено, він необхідний для початку досліду"
307.mp3,Childlock released.,Функцію захисту від дітей вимкнено,Блокування від ненавчених некваліфікованих осіб вимкнено. Кнопки розблоковані
308.mp3,Child Lock activated.,Функцію захисту від дітей увімкнено,Блокування від ненавчених некваліфікованих осіб увімкнено. Кнопки заблоковані
310.mp3,Please move the robot closer to the router.,Перемістіть робота ближче до Wi-Fi роутера,Якісь проблеми з підключенням. Тут хоч щось може працювати стабільно?
311.mp3,Please check the Wi-Fi working status.,"Будь ласка, перевірте стан підключення до Wi-Fi",Я не можу підключитися до сервера Aperture. Невже якийсь бовдур його вимкнув?
312.mp3,Please restart the router and connect the internet again.,"Будь ласка, перезапустіть роутер і повторно підключіть робота до інтернету","Я маю підключитися до мережі, щоб розпочати роботу у цьому безладі."
313.mp3,Please contact the customer service.,Будь ласка зверніться до служби підтримки клієнтів.,Зконтактуйте з відділом післяпродажного обслуговування Aperture Sciense
600.mp3,"音功能正常,测试完毕。 ","Функція звуку в нормі, перевірку завершено","Функція звуку в нормі, перевірку завершено"
di.mp3,short single sound,Короткий одинарний звук ,Короткий одинарний звук 
ding.mp3,ding sound,Звук дзинь ,Звук дзинь 
opps.mp3,triple alarm sound,Короткий потрійний звук,Короткий потрійний звук 
